BLOCKCE20,GEOID20,NAME20,HOUSING20,POP20,geometry,pool_count,visitors_per_1000_residents
1000,230010204011000,Block 1000,48,150,"POLYGON ((-70.208792 44.096438, -70.207922 44.096721, -70.207908 44.096706, -70.207686 44.096362, -70.207569 44.096171, -70.20744 44.095957, -70.207295 44.095605, -70.207555 44.095509, -70.207053 44.09469, -70.206971 44.094709, -70.206873 44.094516, -70.207486 44.094322, -70.208183 44.095469, -70.208628 44.096171, -70.208792 44.096438))",6,40.0
1001,230010204011001,Block 1001,76,199,"POLYGON ((-70.209203 44.096308, -70.208792 44.096438, -70.208628 44.096171, -70.208183 44.095469, -70.207486 44.094322, -70.208004 44.094152, -70.208349 44.094044, -70.208569 44.094411, -70.209658 44.09616, -70.209203 44.096308))",16,80.4
1002,230010204011002,Block 1002,119,297,"POLYGON ((-70.209658 44.09616, -70.208569 44.094411, -70.208349 44.094044, -70.209211 44.093766, -70.210522 44.095884, -70.209658 44.09616))",20,67.34
1003,230010204011003,Block 1003,138,350,"POLYGON ((-70.210522 44.095884, -70.209211 44.093766, -70.210075 44.093485, -70.211392 44.095605, -70.210522 44.095884))",30,85.71
1004,230010204011004,Block 1004,125,371,"POLYGON ((-70.212259 44.095325, -70.211392 44.095605, -70.210075 44.093485, -70.21095 44.093212, -70.212072 44.095006, -70.212259 44.095325))",32,86.25
1005,230010204011005,Block 1005,142,455,"POLYGON ((-70.211676 44.091024, -70.211206 44.091169, -70.210808 44.091301, -70.210431 44.091417, -70.209937 44.091578, -70.21095 44.093212, -70.210075 44.093485, -70.209211 44.093766, -70.208851 44.09317, -70.208013 44.091842, -70.207944 44.091744, -70.207795 44.091586, -70.207672 44.091498, -70.207565 44.091432, -70.207611 44.091388, -70.207679 44.091359, -70.207885 44.091297, -70.208848 44.091034, -70.209246 44.090917, -70.209516 44.090844, -70.209844 44.090743, -70.210158 44.090636, -70.210382 44.090545, -70.21049 44.090489, -70.210621 44.090403, -70.210693 44.090347, -70.210849 44.090208, -70.211046 44.090008, -70.211471 44.090684, -70.211676 44.091024))",29,63.74
1006,230010204011006,Block 1006,70,168,"POLYGON ((-70.211233 44.093124, -70.21095 44.093212, -70.209937 44.091578, -70.210431 44.091417, -70.210808 44.091301, -70.21182 44.092933, -70.211233 44.093124))",16,95.24
1007,230010204011007,Block 1007,113,347,"POLYGON ((-70.212553 44.092693, -70.212268 44.092791, -70.21182 44.092933, -70.210808 44.091301, -70.211206 44.091169, -70.211676 44.091024, -70.212695 44.092648, -70.212553 44.092693))",10,28.82
1001,230010204021001,Block 1001,1,8,"POLYGON ((-70.201289 44.094497, -70.201255 44.094539, -70.201192 44.094582, -70.201091 44.094614, -70.201027 44.094623, -70.199267 44.094712, -70.199234 44.094713, -70.199246 44.09463, -70.199244 44.094498, -70.199179 44.09409, -70.199066 44.093393, -70.199016 44.093095, -70.198973 44.092752, -70.198951 44.092389, -70.198956 44.091932, -70.198972 44.091463, -70.199025 44.09091, -70.19905 44.090745, -70.199212 44.090757, -70.199412 44.090808, -70.199464 44.090829, -70.19953 44.090863, -70.199606 44.090916, -70.199711 44.091018, -70.199744 44.091064, -70.199804 44.09121, -70.199917 44.091544, -70.199952 44.091632, -70.199998 44.091719, -70.200059 44.091819, -70.2001 44.091877, -70.200168 44.091959, -70.200243 44.09204, -70.200617 44.09239, -70.200706 44.092499, -70.200811 44.092669, -70.200856 44.092768, -70.200866 44.092826, -70.200881 44.093153, -70.200903 44.093333, -70.200933 44.093463, -70.200974 44.093566, -70.201025 44.093658, -70.20107 44.093759, -70.201219 44.094076, -70.201255 44.094168, -70.201288 44.094303, -70.201305 44.094437, -70.201289 44.094497))",3,375.0
1004,230010204021004,Block 1004,54,91,"POLYGON ((-70.212262 44.088816, -70.211699 44.08937, -70.211046 44.090008, -70.210849 44.090208, -70.210693 44.090347, -70.210621 44.090403, -70.21049 44.090489, -70.210382 44.090545, -70.210158 44.090636, -70.209844 44.090743, -70.209516 44.090844, -70.209246 44.090917, -70.208848 44.091034, -70.207885 44.091297, -70.207679 44.091359, -70.207611 44.091388, -70.207565 44.091432, -70.207298 44.091305, -70.205668 44.090502, -70.203245 44.089313, -70.203791 44.088738, -70.204418 44.088068, -70.20538 44.088531, -70.205898 44.088779, -70.20633 44.088995, -70.206713 44.088598, -70.20718 44.088099, -70.207486 44.087767, -70.207656 44.087592, -70.207722 44.087524, -70.207788 44.087441, -70.207827 44.087379, -70.207872 44.087254, -70.207876 44.087194, -70.207867 44.087151, -70.20785 44.087122, -70.207793 44.087071, -70.207173 44.086805, -70.206614 44.086529, -70.206243 44.086355, -70.206087 44.086288, -70.206311 44.086047, -70.20644 44.085871, -70.207646 44.086476, -70.208186 44.086742, -70.208769 44.08703, -70.208538 44.087267, -70.20839 44.087438, -70.208372 44.087477, -70.20838 44.087499, -70.208776 44.087681, -70.209259 44.087917, -70.209302 44.087941, -70.209329 44.087947, -70.209346 44.087947, -70.209375 44.08794, -70.209538 44.087819, -70.209854 44.087565, -70.210271 44.087775, -70.210414 44.087847, -70.210652 44.08796, -70.210838 44.088053, -70.21133 44.0883, -70.211576 44.088438, -70.211931 44.088627, -70.212262 44.088816))",5,54.95
